ind,pop
HGDP00222,Pathan
HGDP00224,Pathan
HGDP00226,Pathan
HGDP00228,Pathan
HGDP00230,Pathan
HGDP00232,Pathan
HGDP00241,Pathan
HGDP00243,Pathan
HGDP00244,Pathan
HGDP00247,Pathan
HGDP00248,Pathan
HGDP00254,Pathan
HGDP00258,Pathan
HGDP00259,Pathan
HGDP00262,Pathan
HGDP00264,Pathan
HGDP00267,Kalash
HGDP00277,Kalash
HGDP00281,Kalash
HGDP00285,Kalash
HGDP00286,Kalash
HGDP00288,Kalash
HGDP00290,Kalash
HGDP00298,Kalash
HGDP00302,Kalash
HGDP00307,Kalash
HGDP00311,Kalash
HGDP00313,Kalash
HGDP00315,Kalash
HGDP00319,Kalash
HGDP00323,Kalash
HGDP00328,Kalash
HGDP00330,Kalash
HGDP00333,Kalash
HGDP00336,Burusho
HGDP00338,Burusho
HGDP00341,Burusho
HGDP00346,Burusho
HGDP00351,Burusho
HGDP00356,Burusho
HGDP00359,Burusho
HGDP00364,Burusho
HGDP00371,Burusho
HGDP00372,Burusho
HGDP00382,Burusho
HGDP00388,Burusho
HGDP00392,Burusho
HGDP00402,Burusho
HGDP00407,Burusho
HGDP00412,Burusho
HGDP00417,Burusho
HGDP00423,Burusho
HGDP00428,Burusho
HGDP00433,Burusho
HGDP00438,Burusho
HGDP00444,Burusho
HGDP00445,Burusho
HGDP00449,MbutiPygmy
HGDP00462,MbutiPygmy
HGDP00463,MbutiPygmy
HGDP00467,MbutiPygmy
HGDP00474,MbutiPygmy
HGDP00476,MbutiPygmy
HGDP00478,MbutiPygmy
HGDP00982,MbutiPygmy
HGDP00984,MbutiPygmy
HGDP01081,MbutiPygmy
HGDP00454,BiakaPygmy
HGDP00455,BiakaPygmy
HGDP00457,BiakaPygmy
HGDP00458,BiakaPygmy
HGDP00459,BiakaPygmy
HGDP00460,BiakaPygmy
HGDP00461,BiakaPygmy
HGDP00464,BiakaPygmy
HGDP00465,BiakaPygmy
HGDP00466,BiakaPygmy
HGDP00469,BiakaPygmy
HGDP00470,BiakaPygmy
HGDP00472,BiakaPygmy
HGDP00473,BiakaPygmy
HGDP00475,BiakaPygmy
HGDP00985,BiakaPygmy
HGDP00986,BiakaPygmy
HGDP01086,BiakaPygmy
HGDP01090,BiakaPygmy
HGDP01094,BiakaPygmy
HGDP00511,French
HGDP00512,French
HGDP00513,French
HGDP00514,French
HGDP00515,French
HGDP00516,French
HGDP00517,French
HGDP00518,French
HGDP00519,French
HGDP00522,French
HGDP00523,French
HGDP00524,French
HGDP00525,French
HGDP00526,French
HGDP00527,French
HGDP00528,French
HGDP00529,French
HGDP00531,French
HGDP00533,French
HGDP00534,French
HGDP00535,French
HGDP00536,French
HGDP00537,French
HGDP00538,French
HGDP00539,French
HGDP00540,Papuan
HGDP00541,Papuan
HGDP00543,Papuan
HGDP00545,Papuan
HGDP00546,Papuan
HGDP00547,Papuan
HGDP00548,Papuan
HGDP00549,Papuan
HGDP00550,Papuan
HGDP00552,Papuan
HGDP00553,Papuan
HGDP00554,Papuan
HGDP00555,Papuan
HGDP00556,Papuan
HGDP00557,Druze
HGDP00558,Druze
HGDP00559,Druze
HGDP00560,Druze
HGDP00561,Druze
HGDP00562,Druze
HGDP00563,Druze
HGDP00564,Druze
HGDP00565,Druze
HGDP00566,Druze
HGDP00567,Druze
HGDP00568,Druze
HGDP00569,Druze
HGDP00571,Druze
HGDP00572,Druze
HGDP00573,Druze
HGDP00574,Druze
HGDP00575,Druze
HGDP00577,Druze
HGDP00578,Druze
HGDP00579,Druze
HGDP00580,Druze
HGDP00582,Druze
HGDP00583,Druze
HGDP00584,Druze
HGDP00586,Druze
HGDP00587,Druze
HGDP00588,Druze
HGDP00591,Druze
HGDP00594,Druze
HGDP00595,Druze
HGDP00597,Druze
HGDP00598,Druze
HGDP00599,Druze
HGDP00600,Druze
HGDP00601,Druze
HGDP00602,Druze
HGDP00604,Druze
HGDP00606,Druze
HGDP00607,BedouinB
HGDP00608,BedouinB
HGDP00610,BedouinB
HGDP00612,BedouinB
HGDP00616,BedouinB
HGDP00618,BedouinB
HGDP00623,BedouinB
HGDP00624,BedouinB
HGDP00630,BedouinB
HGDP00631,BedouinB
HGDP00636,BedouinB
HGDP00641,BedouinB
HGDP00643,BedouinB
HGDP00648,BedouinB
HGDP00649,BedouinB
HGDP00650,BedouinB
HGDP00651,BedouinB
HGDP00653,BedouinB
HGDP00701,BedouinB
HGDP00609,BedouinA
HGDP00611,BedouinA
HGDP00613,BedouinA
HGDP00614,BedouinA
HGDP00615,BedouinA
HGDP00619,BedouinA
HGDP00620,BedouinA
HGDP00622,BedouinA
HGDP00625,BedouinA
HGDP00626,BedouinA
HGDP00628,BedouinA
HGDP00629,BedouinA
HGDP00632,BedouinA
HGDP00634,BedouinA
HGDP00635,BedouinA
HGDP00637,BedouinA
HGDP00638,BedouinA
HGDP00639,BedouinA
HGDP00640,BedouinA
HGDP00642,BedouinA
HGDP00644,BedouinA
HGDP00645,BedouinA
HGDP00646,BedouinA
HGDP00647,BedouinA
HGDP00654,BedouinA
HGDP00655,Bougainville
HGDP00656,Bougainville
HGDP00660,Bougainville
HGDP00661,Bougainville
HGDP00662,Bougainville
HGDP00663,Bougainville
HGDP00664,Bougainville
HGDP00787,Bougainville
HGDP00788,Bougainville
HGDP01027,Bougainville
HGDP00666,Sardinian
HGDP00667,Sardinian
HGDP00668,Sardinian
HGDP00669,Sardinian
HGDP00670,Sardinian
HGDP00671,Sardinian
HGDP00672,Sardinian
HGDP00673,Sardinian
HGDP00674,Sardinian
HGDP01062,Sardinian
HGDP01063,Sardinian
HGDP01064,Sardinian
HGDP01065,Sardinian
HGDP01066,Sardinian
HGDP01067,Sardinian
HGDP01068,Sardinian
HGDP01069,Sardinian
HGDP01070,Sardinian
HGDP01071,Sardinian
HGDP01072,Sardinian
